feature,importance,category
GASREGW_std,0.42272585793543943,Level
UNRATE_std,0.30421332240616383,Level
M1SL_std,0.10786394617378973,Level
CSUSHPINSA_yoy,0.05496812551971346,Year-over-Year
FMNHSHPSIUS_std,0.03308825070504876,Level
real_rates,0.025938775639128494,Domain Feature
CSUSHPINSA_std,0.010590611561204102,Level
INDPRO_std,0.008609498111343736,Level
CPIAUCSL_std,0.00751693040455146,Level
DSPIC96_std,0.004462080669792927,Level
TCMDO_std,0.004346300562245509,Level
CUSR0000SEHA_std,0.004133984008195852,Level
AHETPI_std,0.0039466526799195895,Level
PCE_std,0.0038391105430792306,Level
CPIUFDSL_std,0.00375655308038391,Level
