variable,horizon,r_squared,n_obs,coef_level,coef_change,p_value_level,p_value_change
RSAFS,1,0.028310259573756658,419,0.009677021567437643,-0.01986176299045964,0.17087261793254335,0.04140192382626892
INDPRO,1,0.02296691703101217,419,0.00947295954931382,0.0066105971901469565,0.023384726987591548,0.24923203222266083
HOUST,1,0.002827615827304064,419,0.0254708172161295,0.011825514317300525,0.4352651214124529,0.7923231462351122
SP500,1,0.023803108955298913,419,0.0014297642829616294,-0.01716787249321338,0.8585313240405429,0.12043782383218415
PCE,1,0.02386490159366561,419,0.0046667673231860825,-0.008780462224016598,0.23454975215059634,0.10438793967315006
RSAFS,3,0.03574168177107451,417,0.01590319265583463,-0.052123011343879345,0.14890800951946742,0.0007226833493625286
INDPRO,3,0.018314422130558783,417,0.01927122869907627,0.0021811529935564546,0.01629982656857803,0.8445447802184671
HOUST,3,0.014745178366302736,417,0.05660279945387056,-0.09955742290921012,0.17364687705272142,0.0856501437005982
SP500,3,0.021240210289189876,417,-0.0003873384046081906,-0.021886241483363926,0.9792510663924188,0.2912062162645513
PCE,3,0.033009944662092394,417,0.008603293076765741,-0.02672856548883165,0.2069031011980974,0.004993416060059195
RSAFS,6,0.017796437500788964,414,0.02983501367970716,-0.03695950752392817,0.031176661569268557,0.053343330926026174
INDPRO,6,0.02018512689197771,414,0.028304525171759385,0.015948402855971825,0.014388223525352802,0.31699809772262844
HOUST,6,0.006972843096112791,414,0.07743954760854851,0.005164741289893859,0.14236241510900746,0.9434981513315905
SP500,6,0.017526758338159865,414,-0.013698159346397204,0.01165439593744555,0.5340887420498142,0.7019075446453595
PCE,6,0.02469682504288706,414,0.017475144967981693,-0.02513740620742405,0.04608924828399223,0.03797290543890914
