period,response,shock_variable,response_variable,cumulative_response
0,0.0,FEDFUNDS,UMCSENT,0.0
1,-0.010340053671766367,FEDFUNDS,UMCSENT,-0.010340053671766367
2,0.13222311888946225,FEDFUNDS,UMCSENT,0.12188306521769589
3,0.42169461041352035,FEDFUNDS,UMCSENT,0.5435776756312163
4,0.8000346432160084,FEDFUNDS,UMCSENT,1.3436123188472247
5,0.9886366261461496,FEDFUNDS,UMCSENT,2.332248944993374
6,0.7865779063707121,FEDFUNDS,UMCSENT,3.118826851364086
7,0.7080687579779368,FEDFUNDS,UMCSENT,3.826895609342023
8,0.8121680670947414,FEDFUNDS,UMCSENT,4.6390636764367645
9,0.8398803469160467,FEDFUNDS,UMCSENT,5.4789440233528115
10,0.7326435200654356,FEDFUNDS,UMCSENT,6.211587543418247
11,0.7241802639333098,FEDFUNDS,UMCSENT,6.9357678073515565
12,0.7433064163928343,FEDFUNDS,UMCSENT,7.679074223744391
13,0.6717904915364703,FEDFUNDS,UMCSENT,8.350864715280862
14,0.5803292612315698,FEDFUNDS,UMCSENT,8.931193976512432
15,0.5207491464277911,FEDFUNDS,UMCSENT,9.451943122940223
16,0.45934045520295286,FEDFUNDS,UMCSENT,9.911283578143177
17,0.3906024548000578,FEDFUNDS,UMCSENT,10.301886032943235
18,0.3254274465196883,FEDFUNDS,UMCSENT,10.627313479462924
19,0.26172604522513,FEDFUNDS,UMCSENT,10.889039524688053
20,0.19786755200128558,FEDFUNDS,UMCSENT,11.08690707668934
21,0.13642776569324014,FEDFUNDS,UMCSENT,11.22333484238258
22,0.0756637081330439,FEDFUNDS,UMCSENT,11.298998550515623
23,0.016998471924979067,FEDFUNDS,UMCSENT,11.315997022440602
24,-0.03656651885540836,FEDFUNDS,UMCSENT,11.279430503585193
